period	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
2.100000	0.057973	0.058416	0.062485	0.055044	0.060372	0.061020	0.059556	0.059429	0.060102	0.058737	0.060903	0.059480	0.059211	0.055102	0.055755	0.061848	0.058610	0.059469	0.066234	0.059171
2.200000	0.031007	0.030739	0.031397	0.033328	0.032675	0.030692	0.030032	0.030142	0.030137	0.030050	0.030566	0.032525	0.028158	0.031063	0.033523	0.031436	0.030713	0.030873	0.032389	0.029105
2.300000	0.021786	0.021681	0.020591	0.021388	0.022106	0.023719	0.023070	0.023972	0.021786	0.022170	0.021720	0.024218	0.020402	0.024178	0.024153	0.025162	0.024043	0.023001	0.023880	0.027244
2.400000	0.018967	0.017716	0.019166	0.017482	0.014398	0.017816	0.019677	0.019547	0.015855	0.016925	0.017916	0.022177	0.020748	0.018004	0.019094	0.017012	0.017271	0.016243	0.019582	0.016031
2.500000	0.013773	0.015447	0.014215	0.011828	0.013027	0.015267	0.016552	0.014495	0.014657	0.016664	0.015251	0.013040	0.014085	0.012617	0.011933	0.014135	0.015565	0.013628	0.004320	0.013310
2.600000	0.014203	0.012942	0.012224	0.014193	0.012076	0.011461	0.013627	0.013865	0.014077	0.011470	0.009972	0.011734	0.011812	0.013398	0.011914	0.013924	0.011668	0.012378	0.011888	0.014738
2.700000	0.009230	0.013184	0.011135	0.010711	0.011402	0.011944	0.012061	0.011175	0.010074	0.013347	0.010917	0.011891	0.010092	0.012808	0.011215	0.011826	0.011460	0.009755	0.009738	0.011126
2.800000	0.010009	0.010715	0.009966	0.010377	0.010042	0.010269	0.009470	0.011104	0.009997	0.009947	0.010157	0.010053	0.011815	0.010306	0.009906	0.010127	0.010190	0.010744	0.009468	0.009667
2.900000	0.009340	0.009627	0.009557	0.009538	0.009344	0.009533	0.009304	0.009572	0.009539	0.009540	0.009256	0.009499	0.009675	0.009460	0.009387	0.009439	0.009477	0.009230	0.008812	0.009440
3.000000	0.008981	0.009389	0.009169	0.009380	0.009252	0.009244	0.009368	0.009512	0.008997	0.009077	0.009213	0.009226	0.009315	0.009185	0.009053	0.009310	0.009013	0.009506	0.009201	0.009207
