"","diff","lwr","upr","p adj"
"CC-AA",0.000539516129032303,-0.018215964060438,0.0192949963185026,0.999999997838398
"GG-AA",0.000328612903225806,-0.0184268672862445,0.0190840930926961,0.999999999932535
"RR-AA",0.0232352258064516,0.00447974561698137,0.0419907059959219,0.0046781174624787
"SS-AA",0.0169680645161291,-0.00178741567334118,0.0357235447055993,0.108560885841941
"TT-AA",-0.00433809677419349,-0.0230935769636637,0.0144173834152768,0.996731589315373
"WW-AA",0.0186839677419355,-7.15124475347204e-05,0.0374394479314058,0.0516780597090717
"YY-AA",0.0205406451612903,0.00178516497182008,0.0392961253507606,0.020843642353035
"GG-CC",-0.000210903225806497,-0.0189663834152768,0.0185445769636638,0.99999999999704
"RR-CC",0.0226957096774193,0.00394022948794907,0.0414511898668896,0.00640981181672762
"SS-CC",0.0164285483870968,-0.00232693180237348,0.035184028576567,0.13432031679496
"TT-CC",-0.00487761290322579,-0.023633093092696,0.0138778672862445,0.993248364724601
"WW-CC",0.0181444516129032,-0.000611028576567023,0.0368999318023735,0.065944996334538
"YY-CC",0.020001129032258,0.00124564884278778,0.0387566092217283,0.0274291944992738
"RR-GG",0.0229066129032258,0.00415113271375556,0.0416620930926961,0.00567248683942179
"SS-GG",0.0166394516129033,-0.00211602857656699,0.0353949318023735,0.123741951023661
"TT-GG",-0.00466670967741929,-0.0234221898668895,0.014088770512051,0.994851300879117
"WW-GG",0.0183553548387097,-0.000400125350760526,0.03711083502818,0.0600173109929949
"YY-GG",0.0202120322580645,0.00145655206859428,0.0389675124475348,0.024662914049338
"SS-RR",-0.00626716129032255,-0.0250226414797928,0.0124883188991477,0.970793033205911
"TT-RR",-0.0275733225806451,-0.0463288027701154,-0.00881784239117486,0.000286286237403566
"WW-RR",-0.00455125806451609,-0.0233067382539863,0.0142042221249542,0.995590595714667
"YY-RR",-0.00269458064516129,-0.0214500608346315,0.016060899544309,0.999854033121651
"TT-SS",-0.0213061612903226,-0.0400616414797928,-0.0025506811008523,0.0139154138609104
"WW-SS",0.00171590322580646,-0.0170395769636638,0.0204713834152767,0.999993250306806
"YY-SS",0.00357258064516126,-0.015182899544309,0.0223280608346315,0.999056031314886
"WW-TT",0.023022064516129,0.00426658432665877,0.0417775447055993,0.00530280813692896
"YY-TT",0.0248787419354838,0.00612326174601357,0.0436342221249541,0.00171202182155616
"YY-WW",0.0018566774193548,-0.0168988027701155,0.0206121576088251,0.999988394598361
