"","diff","lwr","upr","p adj"
"CC-AA",-0.00350854838709673,-0.0233295069473726,0.0163124101731791,0.999415568534695
"GG-AA",-0.00369674193548392,-0.0235177004957598,0.016124216624792,0.999177194854534
"RR-AA",0.0224552258064516,0.00263426724617575,0.0422761843667275,0.0143565288197568
"SS-AA",0.0180013870967742,-0.00181957146350165,0.0378223456570501,0.105711680395422
"TT-AA",-0.000610290322580587,-0.0204312488828565,0.0192106682376953,0.999999996523364
"WW-AA",0.0177800645161291,-0.00204089404414682,0.0376010230764049,0.115011638856168
"YY-AA",0.0269995483870968,0.00717858982682094,0.0468205069473727,0.00111534705558369
"GG-CC",-0.000188193548387186,-0.0200091521086631,0.0196327650118887,0.99999999999915
"RR-CC",0.0259637741935484,0.00614281563327248,0.0457847327538242,0.00208098377805577
"SS-CC",0.021509935483871,0.00168897692359508,0.0413308940441468,0.0229466399910532
"TT-CC",0.00289825806451614,-0.0169227004957597,0.022719216624792,0.999835722680598
"WW-CC",0.0212886129032258,0.00146765434294991,0.0411095714635017,0.0255239015369679
"YY-CC",0.0305080967741935,0.0106871382139177,0.0503290553344694,0.000114395843188841
"RR-GG",0.0261519677419355,0.00633100918165967,0.0459729263022114,0.00186126028593603
"SS-GG",0.0216981290322581,0.00187717047198227,0.041519087592534,0.0209397335849079
"TT-GG",0.00308645161290333,-0.0167345069473725,0.0229074101731792,0.999749829564072
"WW-GG",0.021476806451613,0.0016558478913371,0.0412977650118888,0.0233170976589174
"YY-GG",0.0306962903225807,0.0108753317623049,0.0505172488828566,0.000100554338857473
"SS-RR",-0.0044538387096774,-0.0242747972699533,0.0153671198505985,0.997275768506071
"TT-RR",-0.0230655161290322,-0.0428864746893081,-0.00324455756875634,0.0104792272519914
"WW-RR",-0.00467516129032257,-0.0244961198505984,0.0151457972699533,0.996305311552388
"YY-RR",0.00454432258064519,-0.0152766359796307,0.0243652811409211,0.996907606106078
"TT-SS",-0.0186116774193548,-0.0384326359796307,0.00120928114092106,0.0831374706131324
"WW-SS",-0.000221322580645167,-0.020042281140921,0.0195996359796307,0.999999999997194
"YY-SS",0.00899816129032259,-0.0108227972699533,0.0288191198505985,0.861975121880199
"WW-TT",0.0183903548387096,-0.00143060372156623,0.0382113133989855,0.0908226628200187
"YY-TT",0.0276098387096774,0.00778888014940153,0.0474307972699533,0.000764123255577176
"YY-WW",0.00921948387096776,-0.0106014746893081,0.0290404424312436,0.846208438395693
