period	AA	TT	CC	GG	SS	WW	RR	YY	sample	condition
9.500000	0.006667	0.013703	0.009205	0.008153	0.014938	0.003981	0.009855	0.012237	1	apoptotic
9.600000	0.005999	0.013762	0.002428	0.013646	0.019062	0.007465	0.015637	0.007364	1	apoptotic
9.700000	0.006830	0.009508	0.010531	0.010960	0.015864	0.012287	0.018772	0.008378	1	apoptotic
9.800000	0.008193	0.003895	0.014316	0.002473	0.008267	0.010064	0.017511	0.008713	1	apoptotic
9.900000	0.007849	0.007395	0.010538	0.008642	0.002909	0.002646	0.013883	0.006775	1	apoptotic
10.000000	0.006575	0.010380	0.001892	0.014188	0.003384	0.009050	0.008892	0.009128	1	apoptotic
10.100000	0.005523	0.009124	0.006821	0.013251	0.001490	0.015713	0.004027	0.012260	1	apoptotic
10.200000	0.005185	0.006545	0.010300	0.007826	0.005921	0.017232	0.009583	0.011731	1	apoptotic
10.300000	0.006346	0.006433	0.006959	0.003342	0.010932	0.015190	0.016101	0.008018	1	apoptotic
10.400000	0.008303	0.006389	0.001470	0.004308	0.012976	0.012754	0.018576	0.005388	1	apoptotic
10.500000	0.009356	0.005687	0.010500	0.003000	0.011841	0.010114	0.016925	0.007683	1	apoptotic
10.600000	0.009271	0.008943	0.016274	0.001751	0.009174	0.005628	0.013438	0.010600	1	apoptotic
10.700000	0.009400	0.013736	0.016559	0.007684	0.007518	0.005948	0.010350	0.012424	1	apoptotic
10.800000	0.010181	0.015822	0.011877	0.012351	0.008541	0.013199	0.007405	0.013065	1	apoptotic
10.900000	0.009974	0.013555	0.005214	0.014228	0.011076	0.018330	0.004992	0.012371	1	apoptotic
9.500000	0.001794	0.001216	0.009584	0.009674	0.003771	0.022473	0.008334	0.010135	10	apoptotic
9.600000	0.004707	0.005416	0.003546	0.009375	0.013252	0.026072	0.008502	0.001705	10	apoptotic
9.700000	0.003825	0.005582	0.004133	0.009561	0.015196	0.020483	0.012770	0.012673	10	apoptotic
9.800000	0.004890	0.004899	0.008390	0.008789	0.009003	0.008312	0.019405	0.021204	10	apoptotic
9.900000	0.006262	0.004693	0.006397	0.007517	0.002656	0.004615	0.018602	0.019329	10	apoptotic
10.000000	0.006053	0.004764	0.002371	0.007958	0.008370	0.011042	0.008860	0.008832	10	apoptotic
10.100000	0.006813	0.006792	0.010244	0.011654	0.008271	0.008613	0.005975	0.010392	10	apoptotic
10.200000	0.008287	0.008735	0.015555	0.015487	0.002061	0.000645	0.018093	0.021061	10	apoptotic
10.300000	0.007676	0.008156	0.014692	0.015862	0.006423	0.011338	0.023066	0.024133	10	apoptotic
10.400000	0.004905	0.005550	0.007833	0.011785	0.012251	0.017797	0.020179	0.019432	10	apoptotic
10.500000	0.004031	0.005246	0.002200	0.007279	0.012568	0.016951	0.013462	0.011393	10	apoptotic
10.600000	0.006573	0.007552	0.011447	0.011204	0.007426	0.009561	0.010027	0.005516	10	apoptotic
10.700000	0.008065	0.007801	0.016788	0.016415	0.004399	0.004415	0.011723	0.004007	10	apoptotic
10.800000	0.007964	0.004887	0.016962	0.017238	0.013126	0.012719	0.014594	0.009125	10	apoptotic
10.900000	0.007432	0.002978	0.012809	0.013189	0.021210	0.017721	0.019462	0.018715	10	apoptotic
9.500000	0.005919	0.006042	0.006752	0.007276	0.008765	0.018868	0.010751	0.007290	11	apoptotic
9.600000	0.008631	0.005497	0.005892	0.013994	0.005179	0.025487	0.012776	0.005795	11	apoptotic
9.700000	0.008030	0.004317	0.004728	0.014006	0.002910	0.022715	0.009179	0.001322	11	apoptotic
9.800000	0.002155	0.002336	0.005376	0.007599	0.001268	0.014720	0.002640	0.006309	11	apoptotic
9.900000	0.006115	0.000293	0.003154	0.003617	0.002860	0.009149	0.014153	0.011488	11	apoptotic
10.000000	0.009719	0.001370	0.003769	0.011820	0.005031	0.008205	0.023247	0.016129	11	apoptotic
10.100000	0.006946	0.001601	0.011822	0.016548	0.007110	0.005451	0.024807	0.019552	11	apoptotic
10.200000	0.001238	0.001028	0.016723	0.016156	0.009104	0.000731	0.018530	0.019397	11	apoptotic
10.300000	0.007664	0.000576	0.015350	0.010988	0.009546	0.004130	0.007378	0.013984	11	apoptotic
10.400000	0.010375	0.000743	0.008748	0.003328	0.006945	0.006317	0.003932	0.004322	11	apoptotic
10.500000	0.007420	0.001920	0.007607	0.007364	0.001262	0.007335	0.011327	0.006473	11	apoptotic
10.600000	0.003687	0.003926	0.014565	0.013939	0.006132	0.009134	0.013059	0.014901	11	apoptotic
10.700000	0.009475	0.006080	0.017415	0.016019	0.012557	0.010764	0.010387	0.018788	11	apoptotic
10.800000	0.013820	0.007751	0.013973	0.012757	0.015808	0.010406	0.007588	0.017991	11	apoptotic
10.900000	0.013380	0.008503	0.006065	0.005430	0.014737	0.007987	0.008657	0.013982	11	apoptotic
9.500000	0.009177	0.009824	0.011509	0.011461	0.010813	0.016343	0.015265	0.018156	12	apoptotic
9.600000	0.006049	0.011213	0.017429	0.014315	0.011811	0.006389	0.008472	0.018296	12	apoptotic
9.700000	0.003109	0.007099	0.018366	0.012276	0.008044	0.006811	0.004759	0.016171	12	apoptotic
9.800000	0.002804	0.003321	0.013339	0.010871	0.002672	0.010080	0.008332	0.012597	12	apoptotic
9.900000	0.005401	0.004634	0.005010	0.010532	0.002532	0.005445	0.006433	0.007340	12	apoptotic
10.000000	0.007831	0.003025	0.002206	0.007512	0.003703	0.011412	0.002687	0.006967	12	apoptotic
10.100000	0.008104	0.002684	0.005028	0.002600	0.003110	0.022588	0.011776	0.014941	12	apoptotic
10.200000	0.007315	0.007585	0.004331	0.004467	0.002439	0.026412	0.018352	0.020212	12	apoptotic
10.300000	0.008863	0.009739	0.005513	0.006054	0.002943	0.019954	0.019346	0.018545	12	apoptotic
10.400000	0.011319	0.008652	0.008319	0.003883	0.004436	0.007317	0.016538	0.010531	12	apoptotic
10.500000	0.011323	0.007535	0.008633	0.002704	0.005598	0.013073	0.015084	0.006894	12	apoptotic
10.600000	0.008593	0.008965	0.005768	0.006539	0.005445	0.023536	0.016288	0.015018	12	apoptotic
10.700000	0.007020	0.009888	0.001345	0.008474	0.004324	0.025162	0.015840	0.018779	12	apoptotic
10.800000	0.009695	0.008768	0.003215	0.007652	0.003707	0.017322	0.011820	0.015366	12	apoptotic
10.900000	0.011821	0.008055	0.005446	0.005779	0.003430	0.003726	0.006387	0.006906	12	apoptotic
9.500000	0.007761	0.007189	0.016762	0.017554	0.006332	0.010648	0.003219	0.010691	13	apoptotic
9.600000	0.007709	0.003661	0.008795	0.016071	0.011361	0.014074	0.003385	0.012233	13	apoptotic
9.700000	0.012582	0.011399	0.005566	0.009021	0.012156	0.010915	0.002639	0.010719	13	apoptotic
9.800000	0.014677	0.014229	0.007624	0.005877	0.007408	0.002522	0.004820	0.008514	13	apoptotic
9.900000	0.011249	0.013856	0.008403	0.012849	0.004714	0.008412	0.005431	0.007854	13	apoptotic
10.000000	0.004997	0.013330	0.009004	0.016614	0.009769	0.015371	0.003918	0.006988	13	apoptotic
10.100000	0.005566	0.012219	0.009612	0.015087	0.010437	0.016761	0.003206	0.005628	13	apoptotic
10.200000	0.008920	0.008744	0.009922	0.009646	0.005214	0.013691	0.004843	0.006376	13	apoptotic
10.300000	0.009026	0.002965	0.010489	0.003350	0.003473	0.009721	0.007167	0.006746	13	apoptotic
10.400000	0.008271	0.003523	0.010751	0.004741	0.011304	0.007921	0.009551	0.003953	13	apoptotic
10.500000	0.009465	0.008351	0.009014	0.007089	0.015491	0.006647	0.010610	0.005122	13	apoptotic
10.600000	0.010377	0.010651	0.005111	0.005231	0.015390	0.003487	0.009456	0.013085	13	apoptotic
10.700000	0.008633	0.010673	0.005835	0.001474	0.012729	0.002265	0.007981	0.019826	13	apoptotic
10.800000	0.004373	0.009453	0.012343	0.008805	0.009767	0.008275	0.010088	0.022559	13	apoptotic
10.900000	0.000841	0.007770	0.017764	0.015946	0.006937	0.014342	0.014077	0.020419	13	apoptotic
9.500000	0.009571	0.008782	0.007206	0.007014	0.021614	0.024214	0.005639	0.005254	14	apoptotic
9.600000	0.008140	0.001584	0.007173	0.003595	0.016310	0.021605	0.004969	0.004223	14	apoptotic
