"condition"	"operation"	"period"
"apoptotic"	"period_AA_mean"	10.2258064516129
"conmouse"	"period_AA_mean"	10.2935483870968
"shones"	"period_AA_mean"	10.0612903225806
"apoptotic"	"period_AA_stderr"	0.0955985942596386
"conmouse"	"period_AA_stderr"	0.0782792744883946
"shones"	"period_AA_stderr"	0.078106271601869
"apoptotic"	"period_CC_mean"	10.341935483871
"conmouse"	"period_CC_mean"	10.1774193548387
"shones"	"period_CC_mean"	10.1387096774194
"apoptotic"	"period_CC_stderr"	0.0792130913407011
"conmouse"	"period_CC_stderr"	0.0870927916253946
"shones"	"period_CC_stderr"	0.0898837264870613
"apoptotic"	"period_GG_mean"	10.1322580645161
"conmouse"	"period_GG_mean"	10.0451612903226
"shones"	"period_GG_mean"	10.2290322580645
"apoptotic"	"period_GG_stderr"	0.0840362308928169
"conmouse"	"period_GG_stderr"	0.0810997937864368
"shones"	"period_GG_stderr"	0.0818066890536224
"apoptotic"	"period_RR_mean"	10.2032258064516
"conmouse"	"period_RR_mean"	10.2161290322581
"shones"	"period_RR_mean"	10.2322580645161
"apoptotic"	"period_RR_stderr"	0.0918722665125063
"conmouse"	"period_RR_stderr"	0.0747895648798348
"shones"	"period_RR_stderr"	0.0772354446424855
"apoptotic"	"period_SS_mean"	10.2838709677419
"conmouse"	"period_SS_mean"	10.1548387096774
"shones"	"period_SS_mean"	9.98387096774194
"apoptotic"	"period_SS_stderr"	0.0820564681250149
"conmouse"	"period_SS_stderr"	0.0778527296884605
"shones"	"period_SS_stderr"	0.0730439217100642
"apoptotic"	"period_TT_mean"	10.0774193548387
"conmouse"	"period_TT_mean"	10.2161290322581
"shones"	"period_TT_mean"	10.2161290322581
"apoptotic"	"period_TT_stderr"	0.0920156224953781
"conmouse"	"period_TT_stderr"	0.0842547052632732
"shones"	"period_TT_stderr"	0.077195015465796
"apoptotic"	"period_WW_mean"	10.1516129032258
"conmouse"	"period_WW_mean"	10.2677419354839
"shones"	"period_WW_mean"	10.1935483870968
"apoptotic"	"period_WW_stderr"	0.0909768926992064
"conmouse"	"period_WW_stderr"	0.0922114326844811
"shones"	"period_WW_stderr"	0.086749606781789
"apoptotic"	"period_YY_mean"	10.3290322580645
"conmouse"	"period_YY_mean"	10.2032258064516
"shones"	"period_YY_mean"	10.3645161290323
"apoptotic"	"period_YY_stderr"	0.0931172862446709
"conmouse"	"period_YY_stderr"	0.0871883230526063
"shones"	"period_YY_stderr"	0.0848209229484277
