Pattern	abpi	abper	abval
Apoptotic.AA	ab2	ab9.6	ab0.009614
Apoptotic.CC	ab2	ab9.6	ab0.016156
Apoptotic.GG	ab1	ab9.5	ab0.012885
Apoptotic.RR	ab11	ab10.5	ab0.017931
Apoptotic.SS	ab10	ab10.4	ab0.015068
Apoptotic.TT	ab3	ab9.7	ab0.015299
Apoptotic.WW	ab6	ab10	ab0.041337
Apoptotic.YY	ab4	ab9.8	ab0.014382
CD4+.AA	ab1	ab9.5	ab0.01315
CD4+.CC	ab7	ab10.1	ab0.021607
CD4+.GG	ab8	ab10.2	ab0.018555
CD4+.RR	ab9	ab10.3	ab0.020969
CD4+.SS	ab8	ab10.2	ab0.017679
CD4+.TT	ab10	ab10.4	ab0.019805
CD4+.WW	ab4	ab9.8	ab0.02375
CD4+.YY	ab9	ab10.3	ab0.021108
Mouse.AA	ab8	ab10.2	ab0.017046
Mouse.CC	ab4	ab9.8	ab0.013192
Mouse.GG	ab5	ab9.9	ab0.014254
Mouse.RR	ab1	ab9.5	ab0.01747
Mouse.SS	ab6	ab10	ab0.013563
Mouse.TT	ab7	ab10.1	ab0.023836
Mouse.WW	ab1	ab9.5	ab0.008769
Mouse.YY	ab1	ab9.5	ab0.014758
