pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
-68	0.072010	0.060614	0.068556	0.047128	0.063303	0.073277	0.043680	0.068643	0.068954	0.043443	0.076201	0.059908	0.285721	0.236601	0.045935	0.071517	0.063975	0.072855	0.237928	0.286292
-67	0.071851	0.060727	0.070251	0.046969	0.064123	0.073056	0.044045	0.068205	0.069562	0.043901	0.077735	0.060015	0.289400	0.238737	0.045630	0.069453	0.063401	0.071074	0.235523	0.281789
-66	0.071410	0.060762	0.071430	0.047352	0.063614	0.071684	0.043997	0.068437	0.070437	0.044306	0.078440	0.061087	0.291718	0.238426	0.045169	0.067928	0.063230	0.070715	0.234647	0.278764
-65	0.070769	0.060602	0.071289	0.047844	0.062397	0.070908	0.043340	0.068437	0.070695	0.044711	0.078578	0.062283	0.291331	0.237536	0.045506	0.067788	0.063093	0.071760	0.235880	0.278893
-64	0.070674	0.060166	0.070066	0.048006	0.061523	0.071039	0.042928	0.068811	0.070630	0.045014	0.077983	0.063104	0.289353	0.236964	0.046049	0.068232	0.062956	0.072819	0.237548	0.280900
-63	0.070344	0.060137	0.069217	0.048108	0.060938	0.071929	0.043091	0.069341	0.070122	0.045113	0.077397	0.062844	0.287079	0.237530	0.046292	0.069074	0.062883	0.073169	0.237913	0.283513
-62	0.069651	0.060216	0.068349	0.048071	0.060962	0.073037	0.043662	0.070216	0.069849	0.045106	0.076927	0.062436	0.284776	0.238732	0.046192	0.069388	0.062641	0.073298	0.237212	0.285938
-61	0.069083	0.060083	0.067809	0.048079	0.061058	0.073988	0.044390	0.070491	0.069734	0.044701	0.076483	0.061730	0.283109	0.239562	0.046208	0.069764	0.063068	0.073330	0.236701	0.287573
-60	0.068845	0.060041	0.067615	0.048161	0.061222	0.074076	0.044709	0.070351	0.069772	0.044361	0.076351	0.061403	0.282582	0.239497	0.046248	0.070011	0.063532	0.073302	0.236556	0.287740
-59	0.068868	0.060089	0.068140	0.047920	0.060959	0.073721	0.044972	0.069981	0.069836	0.044395	0.076263	0.061182	0.283107	0.239351	0.046341	0.070358	0.064128	0.072846	0.235975	0.286905
-58	0.069035	0.060289	0.068708	0.047545	0.060973	0.073466	0.044871	0.069749	0.069836	0.044762	0.076814	0.060884	0.284393	0.239913	0.045903	0.070170	0.064591	0.072402	0.234886	0.285787
-57	0.068945	0.060521	0.069311	0.047085	0.060802	0.073720	0.044938	0.069495	0.069985	0.045397	0.077226	0.060513	0.285467	0.241281	0.045687	0.069808	0.064621	0.071945	0.233663	0.284968
-56	0.068853	0.060964	0.069381	0.046886	0.060953	0.074320	0.044639	0.069326	0.070006	0.046011	0.077891	0.060142	0.286132	0.242860	0.045436	0.069259	0.064449	0.071482	0.232658	0.284387
-55	0.069018	0.060935	0.069756	0.046358	0.061676	0.074382	0.044396	0.069243	0.070524	0.046455	0.078581	0.059744	0.287878	0.243814	0.045553	0.068717	0.063885	0.070777	0.231705	0.283119
-54	0.069937	0.060939	0.070394	0.046211	0.061884	0.074579	0.043981	0.069003	0.070676	0.046724	0.079848	0.059603	0.290854	0.245132	0.045042	0.067721	0.063165	0.070292	0.231482	0.281596
-53	0.070301	0.060971	0.070692	0.046089	0.061689	0.074805	0.043957	0.069010	0.070804	0.046905	0.080544	0.060535	0.292341	0.246211	0.044561	0.066868	0.062461	0.069807	0.230759	0.280491
-52	0.069891	0.060997	0.070297	0.046189	0.061338	0.075382	0.044158	0.068918	0.070763	0.046711	0.080467	0.061885	0.291418	0.246718	0.044484	0.067014	0.062245	0.069260	0.229824	0.280575
-51	0.069384	0.060957	0.070029	0.046049	0.061506	0.075779	0.044529	0.068629	0.070671	0.046308	0.079840	0.062666	0.289924	0.246457	0.044961	0.067622	0.062625	0.068442	0.228836	0.280473
-50	0.069293	0.060825	0.070176	0.045691	0.062439	0.075837	0.044953	0.068297	0.070918	0.045715	0.079552	0.062403	0.289938	0.246058	0.045446	0.067914	0.063024	0.067515	0.227945	0.279564
-49	0.069535	0.061161	0.070994	0.045554	0.062462	0.076045	0.045217	0.067982	0.070797	0.045347	0.079802	0.061776	0.291127	0.246411	0.045373	0.067792	0.063177	0.066987	0.227449	0.278806
-48	0.069536	0.061467	0.071144	0.045416	0.062720	0.075757	0.045594	0.067979	0.070861	0.045105	0.079936	0.061614	0.291477	0.246393	0.045166	0.067527	0.063309	0.066867	0.226986	0.278131
-47	0.069715	0.061638	0.071357	0.045480	0.062424	0.075501	0.045361	0.067509	0.071030	0.045214	0.079893	0.061565	0.291995	0.245969	0.045120	0.067582	0.063507	0.067102	0.227417	0.277694
-46	0.070061	0.061704	0.071390	0.045608	0.062365	0.074859	0.045042	0.067448	0.071326	0.045510	0.080086	0.061779	0.292864	0.245497	0.044944	0.067215	0.063508	0.067151	0.227766	0.276673
-45	0.070128	0.061793	0.071782	0.045827	0.062130	0.074590	0.044407	0.067150	0.071476	0.045985	0.080449	0.062077	0.293835	0.245431	0.044966	0.066873	0.063407	0.066959	0.227880	0.275572
-44	0.070078	0.061648	0.072053	0.045932	0.061988	0.074439	0.044185	0.067020	0.071492	0.046567	0.080825	0.062560	0.294448	0.246016	0.044856	0.066546	0.063319	0.066490	0.227357	0.274495
-43	0.069659	0.061660	0.072280	0.045780	0.061853	0.074456	0.044081	0.066759	0.071499	0.047109	0.080970	0.062959	0.294408	0.246617	0.044999	0.066439	0.063208	0.066288	0.226727	0.273942
-42	0.069275	0.061366	0.072125	0.045661	0.062091	0.074448	0.044250	0.066906	0.071724	0.047119	0.080886	0.063275	0.294010	0.246703	0.045068	0.066410	0.063168	0.066228	0.226234	0.273992
-41	0.069045	0.061490	0.071953	0.045605	0.062438	0.074266	0.044685	0.067220	0.071639	0.046642	0.080771	0.063194	0.293407	0.246363	0.045078	0.066226	0.063231	0.066518	0.226247	0.274230
-40	0.068926	0.061349	0.071662	0.045540	0.062843	0.074237	0.045306	0.067210	0.071505	0.046095	0.080479	0.062936	0.292572	0.246117	0.045292	0.066400	0.063556	0.066665	0.226423	0.274512
-39	0.068700	0.061465	0.071590	0.045305	0.062982	0.074398	0.045967	0.067173	0.071340	0.045723	0.080247	0.062684	0.291876	0.246335	0.045188	0.066557	0.063913	0.066768	0.225961	0.274897
-38	0.068397	0.061430	0.071615	0.044983	0.062975	0.074687	0.046253	0.067087	0.071379	0.045503	0.080371	0.062511	0.291761	0.246814	0.045151	0.066868	0.064012	0.066779	0.225310	0.275421
-37	0.068056	0.061570	0.071979	0.044906	0.062737	0.074669	0.046087	0.067074	0.071411	0.045777	0.080753	0.062394	0.292198	0.247287	0.044838	0.067017	0.064129	0.066601	0.224402	0.275362
