AA.f	AA.r	AC.f	AC.r	AG.f	AG.r	AT.f	AT.r	CA.f	CA.r	CC.f	CC.r	CG.f	CG.r	CT.f	CT.r	GA.f	GA.r	GC.f	GC.r	GG.f	GG.r	GT.f	GT.r	TA.f	TA.r	TC.f	TC.r	TG.f	TG.r	TT.f	TT.r
0.095184	0.091265	0.052072	0.071153	0.071801	0.058686	0.068238	0.060696	0.071924	0.051124	0.056440	0.056423	0.015594	0.047358	0.070927	0.061113	0.061113	0.070927	0.047358	0.015594	0.056423	0.056440	0.051124	0.071924	0.060696	0.068238	0.058686	0.071801	0.071153	0.052072	0.091265	0.095184
0.094267	0.091011	0.052449	0.071350	0.072125	0.058692	0.070077	0.060502	0.072076	0.050612	0.056778	0.056673	0.015612	0.047330	0.070090	0.060356	0.060356	0.070090	0.047330	0.015612	0.056673	0.056778	0.050612	0.072076	0.060502	0.070077	0.058692	0.072125	0.071350	0.052449	0.091011	0.094267
0.093541	0.091344	0.051811	0.071164	0.072326	0.059057	0.069524	0.060224	0.072689	0.050950	0.056776	0.057812	0.015164	0.046845	0.070621	0.060153	0.060153	0.070621	0.046845	0.015164	0.057812	0.056776	0.050950	0.072689	0.060224	0.069524	0.059057	0.072326	0.071164	0.051811	0.091344	0.093541
0.094007	0.092268	0.051179	0.071805	0.072396	0.058769	0.069024	0.059596	0.071789	0.051070	0.057090	0.058770	0.015161	0.046705	0.070448	0.059922	0.059922	0.070448	0.046705	0.015161	0.058770	0.057090	0.051070	0.071789	0.059596	0.069024	0.058769	0.072396	0.071805	0.051179	0.092268	0.094007
0.093837	0.091963	0.051026	0.070716	0.071975	0.059622	0.068477	0.060508	0.070718	0.052172	0.056635	0.059443	0.014836	0.046786	0.071555	0.059731	0.059731	0.071555	0.046786	0.014836	0.059443	0.056635	0.052172	0.070718	0.060508	0.068477	0.059622	0.071975	0.070716	0.051026	0.091963	0.093837
0.093580	0.093453	0.050974	0.071589	0.071347	0.059179	0.068893	0.059946	0.071714	0.052441	0.056563	0.057689	0.014928	0.047146	0.070864	0.059695	0.059695	0.070864	0.047146	0.014928	0.057689	0.056563	0.052441	0.071714	0.059946	0.068893	0.059179	0.071347	0.071589	0.050974	0.093453	0.093580
0.093602	0.094288	0.051523	0.071933	0.070757	0.059710	0.069052	0.059720	0.071648	0.051922	0.056705	0.057388	0.014570	0.047013	0.070940	0.059230	0.059230	0.070940	0.047013	0.014570	0.057388	0.056705	0.051922	0.071648	0.059720	0.069052	0.059710	0.070757	0.071933	0.051523	0.094288	0.093602
0.093803	0.094445	0.050966	0.070747	0.070569	0.060103	0.068862	0.060906	0.071569	0.051717	0.056784	0.056462	0.014782	0.046524	0.071816	0.059945	0.059945	0.071816	0.046524	0.014782	0.056462	0.056784	0.051717	0.071569	0.060906	0.068862	0.060103	0.070569	0.070747	0.050966	0.094445	0.093803
0.094607	0.094655	0.051494	0.071306	0.070889	0.060476	0.069233	0.060404	0.071770	0.051644	0.056669	0.055646	0.014664	0.046654	0.071274	0.058616	0.058616	0.071274	0.046654	0.014664	0.055646	0.056669	0.051644	0.071770	0.060404	0.069233	0.060476	0.070889	0.071306	0.051494	0.094655	0.094607
0.093663	0.093952	0.051669	0.071469	0.071402	0.060497	0.068663	0.060887	0.072153	0.050574	0.057486	0.055539	0.014782	0.046955	0.070871	0.059438	0.059438	0.070871	0.046955	0.014782	0.055539	0.057486	0.050574	0.072153	0.060887	0.068663	0.060497	0.071402	0.071469	0.051669	0.093952	0.093663
