pos	AA	AC	AG	AT	CA	CC	CG	CT	GA	GC	GG	GT	RR	SS	TA	TC	TG	TT	WW	YY
-68	0.095200	0.061038	0.066296	0.066122	0.063108	0.054412	0.028064	0.066566	0.065925	0.029692	0.053786	0.061657	0.281206	0.165955	0.067000	0.065406	0.061568	0.094160	0.322481	0.280544
-67	0.096287	0.061107	0.066165	0.066963	0.062338	0.054096	0.028141	0.066751	0.066181	0.029119	0.053459	0.062054	0.282092	0.164815	0.066630	0.065429	0.060918	0.094363	0.324242	0.280638
-66	0.096191	0.061243	0.065664	0.067517	0.061835	0.053914	0.028255	0.066587	0.065754	0.028764	0.053260	0.062193	0.280869	0.164193	0.066384	0.066413	0.060876	0.095149	0.325241	0.282063
-65	0.095151	0.061506	0.064862	0.067504	0.061655	0.054335	0.028554	0.066413	0.065153	0.028382	0.053256	0.062451	0.278422	0.164526	0.066212	0.067062	0.061124	0.096379	0.325246	0.284189
-64	0.093851	0.061786	0.064064	0.067194	0.061601	0.054994	0.028806	0.066357	0.064769	0.028213	0.053262	0.062356	0.275945	0.165274	0.066327	0.067630	0.061656	0.097136	0.324508	0.286116
-63	0.093154	0.061852	0.063899	0.066873	0.061737	0.055395	0.029065	0.066623	0.064744	0.027969	0.053139	0.062234	0.274936	0.165568	0.066222	0.067516	0.062219	0.097359	0.323609	0.286893
-62	0.092839	0.061583	0.064679	0.066802	0.061614	0.055210	0.029171	0.066789	0.064556	0.028165	0.053058	0.061761	0.275132	0.165604	0.066549	0.067584	0.062599	0.097040	0.323230	0.286623
-61	0.093026	0.061662	0.064786	0.066745	0.061487	0.055190	0.028871	0.066931	0.064499	0.028704	0.052997	0.061795	0.275307	0.165761	0.066471	0.067528	0.062401	0.096909	0.323152	0.286558
-60	0.093104	0.062017	0.064504	0.066850	0.061662	0.055519	0.028508	0.067088	0.064132	0.029003	0.052735	0.061876	0.274474	0.165765	0.066538	0.067571	0.061958	0.096935	0.323427	0.287113
-59	0.093136	0.062607	0.063620	0.067217	0.061745	0.055860	0.028309	0.067593	0.063994	0.028912	0.052360	0.062079	0.273108	0.165441	0.066399	0.067453	0.061440	0.097275	0.324026	0.288181
-58	0.092938	0.062611	0.063325	0.067481	0.061768	0.055803	0.028469	0.067836	0.064052	0.028530	0.052008	0.061876	0.272323	0.164811	0.066783	0.067741	0.060950	0.097827	0.325028	0.289207
-57	0.093022	0.061999	0.063296	0.067694	0.061439	0.055632	0.028585	0.068348	0.064294	0.028177	0.051805	0.061777	0.272417	0.164198	0.066957	0.067828	0.060758	0.098389	0.326062	0.290196
-56	0.093187	0.061365	0.063192	0.067586	0.061406	0.055462	0.028767	0.068160	0.064284	0.028106	0.051765	0.061822	0.272427	0.164099	0.067161	0.068153	0.060708	0.098877	0.326811	0.290651
-55	0.093465	0.061311	0.063390	0.067216	0.061714	0.055336	0.028931	0.067991	0.063975	0.028063	0.051732	0.061750	0.272561	0.164061	0.067044	0.068258	0.061120	0.098704	0.326429	0.290289
-54	0.093595	0.061621	0.063741	0.066889	0.061700	0.055580	0.029211	0.067598	0.063985	0.028231	0.052024	0.061431	0.273345	0.165046	0.066969	0.068272	0.061311	0.097841	0.325294	0.289291
-53	0.093639	0.062094	0.064299	0.066503	0.061542	0.055936	0.029303	0.067665	0.064336	0.028257	0.052587	0.060981	0.274860	0.166084	0.066709	0.068240	0.061469	0.096440	0.323290	0.288281
-52	0.093610	0.062288	0.064646	0.066435	0.061390	0.056417	0.029112	0.067643	0.065143	0.028303	0.052980	0.060782	0.276378	0.166813	0.066567	0.067983	0.061480	0.095219	0.321831	0.287262
-51	0.093843	0.062618	0.065089	0.066301	0.061414	0.056325	0.028736	0.067543	0.065396	0.028329	0.053356	0.060684	0.277684	0.166747	0.066588	0.067899	0.061504	0.094374	0.321106	0.286141
