AA.f	AA.r	AC.f	AC.r	AG.f	AG.r	AT.f	AT.r	CA.f	CA.r	CC.f	CC.r	CG.f	CG.r	CT.f	CT.r	GA.f	GA.r	GC.f	GC.r	GG.f	GG.r	GT.f	GT.r	TA.f	TA.r	TC.f	TC.r	TG.f	TG.r	TT.f	TT.r
0.077297	0.072969	0.050756	0.070541	0.075287	0.060027	0.053980	0.045224	0.071650	0.049100	0.075003	0.074945	0.026270	0.060746	0.073750	0.062455	0.062455	0.073750	0.060746	0.026270	0.074945	0.075003	0.049100	0.071650	0.045224	0.053980	0.060027	0.075287	0.070541	0.050756	0.072969	0.077297
0.077574	0.072785	0.050173	0.070978	0.074838	0.060660	0.054041	0.045377	0.072051	0.048949	0.075031	0.074921	0.025979	0.060840	0.073471	0.062333	0.062333	0.073471	0.060840	0.025979	0.074921	0.075031	0.048949	0.072051	0.045377	0.054041	0.060660	0.074838	0.070978	0.050173	0.072785	0.077574
0.076981	0.072943	0.050732	0.070899	0.075352	0.060194	0.054269	0.045210	0.071813	0.049208	0.074446	0.074398	0.026256	0.060696	0.074188	0.062414	0.062414	0.074188	0.060696	0.026256	0.074398	0.074446	0.049208	0.071813	0.045210	0.054269	0.060194	0.075352	0.070899	0.050732	0.072943	0.076981
0.077497	0.073113	0.049857	0.070243	0.074868	0.061036	0.054197	0.046216	0.072154	0.049377	0.074764	0.074417	0.025580	0.060421	0.073569	0.062691	0.062691	0.073569	0.060421	0.025580	0.074417	0.074764	0.049377	0.072154	0.046216	0.054197	0.061036	0.074868	0.070243	0.049857	0.073113	0.077497
0.078469	0.073162	0.049819	0.070420	0.075064	0.060746	0.055207	0.045929	0.071212	0.049318	0.075077	0.073524	0.025707	0.060335	0.074082	0.061930	0.061930	0.074082	0.060335	0.025707	0.073524	0.075077	0.049318	0.071212	0.045929	0.055207	0.060746	0.075064	0.070420	0.049819	0.073162	0.078469
0.077282	0.073437	0.050486	0.071908	0.075265	0.060424	0.054507	0.045999	0.071535	0.048297	0.074218	0.074823	0.026153	0.059870	0.074071	0.061726	0.061726	0.074071	0.059870	0.026153	0.074823	0.074218	0.048297	0.071535	0.045999	0.054507	0.060424	0.075265	0.071908	0.050486	0.073437	0.077282
0.077136	0.072761	0.049740	0.071186	0.075187	0.060500	0.054479	0.045865	0.071358	0.049924	0.074274	0.074745	0.025580	0.060759	0.073786	0.062720	0.062720	0.073786	0.060759	0.025580	0.074745	0.074274	0.049924	0.071358	0.045865	0.054479	0.060500	0.075187	0.071186	0.049740	0.072761	0.077136
0.077227	0.072472	0.050993	0.071715	0.074752	0.060778	0.054106	0.045984	0.071578	0.049463	0.074522	0.074864	0.025621	0.059755	0.073552	0.062617	0.062617	0.073552	0.059755	0.025621	0.074864	0.074522	0.049463	0.071578	0.045984	0.054106	0.060778	0.074752	0.071715	0.050993	0.072472	0.077227
0.077077	0.072574	0.050481	0.071084	0.075579	0.060591	0.054268	0.045344	0.071537	0.048864	0.075139	0.074940	0.025766	0.060199	0.073607	0.062950	0.062950	0.073607	0.060199	0.025766	0.074940	0.075139	0.048864	0.071537	0.045344	0.054268	0.060591	0.075579	0.071084	0.050481	0.072574	0.077077
0.078334	0.072651	0.049896	0.070453	0.074873	0.060106	0.053805	0.046103	0.072472	0.049158	0.074819	0.075652	0.025725	0.060290	0.073394	0.062269	0.062269	0.073394	0.060290	0.025725	0.075652	0.074819	0.049158	0.072472	0.046103	0.053805	0.060106	0.074873	0.070453	0.049896	0.072651	0.078334
0.077564	0.071619	0.050804	0.070484	0.076443	0.060300	0.054367	0.046605	0.071882	0.049158	0.074329	0.075026	0.025761	0.061162	0.073139	0.061356	0.061356	0.073139	0.061162	0.025761	0.075026	0.074329	0.049158	0.071882	0.046605	0.054367	0.060300	0.076443	0.070484	0.050804	0.071619	0.077564
0.077430	0.072321	0.049901	0.069963	0.075103	0.060039	0.054973	0.045962	0.072016	0.049490	0.075148	0.075122	0.025970	0.060962	0.073461	0.062139	0.062139	0.073461	0.060962	0.025970	0.075122	0.075148	0.049490	0.072016	0.045962	0.054973	0.060039	0.075103	0.069963	0.049901	0.072321	0.077430
0.077786	0.072496	0.050309	0.071107	0.075253	0.060538	0.054199	0.046104	0.072295	0.049262	0.074250	0.074316	0.026081	0.060560	0.073425	0.062022	0.062022	0.073425	0.060560	0.026081	0.074316	0.074250	0.049262	0.072295	0.046104	0.054199	0.060538	0.075253	0.071107	0.050309	0.072496	0.077786
0.077684	0.072604	0.050565	0.071122	0.075607	0.059814	0.054350	0.045841	0.071660	0.049296	0.074684	0.074811	0.025897	0.060579	0.073416	0.062070	0.062070	0.073416	0.060579	0.025897	0.074811	0.074684	0.049296	0.071660	0.045841	0.054350	0.059814	0.075607	0.071122	0.050565	0.072604	0.077684
0.077411	0.073193	0.049869	0.070926	0.075442	0.059820	0.054534	0.045728	0.072506	0.049526	0.073872	0.074713	0.025768	0.060780	0.073495	0.062417	0.062417	0.073495	0.060780	0.025768	0.074713	0.073872	0.049526	0.072506	0.045728	0.054534	0.059820	0.075442	0.070926	0.049869	0.073193	0.077411
0.077456	0.073181	0.050163	0.071071	0.075614	0.060333	0.054830	0.046165	0.071609	0.049508	0.074228	0.074886	0.025948	0.060195	0.072556	0.062259	0.062259	0.072556	0.060195	0.025948	0.074886	0.074228	0.049508	0.071609	0.046165	0.054830	0.060333	0.075614	0.071071	0.050163	0.073181	0.077456
